t_index   tf-idf    
14        3.7404    
962       2.1782    
1113      1.6658    
1300      0.8310    
1772      6.3054    
1876      3.1699    
1979      1.9812    
1997      11.9667   
2056      2.2194    
2141      5.6122    
2591      1.1041    
2708      1.8745    
2825      2.0287    
2983      2.8876    
3059      1.4691    
3089      3.5645    
3178      4.0028    
3180      2.8451    
3291      3.3349    
4043      3.9540    
4154      4.3595    
4336      3.1273    
4476      2.7081    
4547      1.3014    
4551      3.2608    
4653      3.0865    
4721      2.5212    
4789      2.8714    
5317      2.1972    
5377      1.5179    
5489      3.3096    
5629      3.1917    
5666      3.9540    
5667      1.3531    
5692      1.8805    
5897      2.6165    
6019      1.9746    
6149      2.5559    
6154      3.2608    
6366      1.5869    
6384      3.6312    
6402      1.3183    
6518      2.2110    
6610      1.9616    
6723      2.4342    
6965      1.2302    
7017      4.4336    
7095      6.1334    
7145      3.3876    
7251      2.1233    
7472      3.0282    
7511      0.7779    
7568      1.2947    
7580      1.7255    
7668      2.1157    
7719      3.6663    
7899      9.2012    
7967      2.8527    
7993      1.6902    
8044      2.9210    
8145      1.4075    
8376      12.6040   
8390      3.1699    
8542      1.4340    
8779      3.9540    
8802      5.6482    
8866      1.0045    
8876      1.1521    
9041      1.9812    
9204      0.6184    
9244      8.8638    
9275      2.2536    
9313      3.0667    
9645      1.6370    
9681      2.2980    
9858      1.7890    
9902      5.2068    
9976      1.2209    
10050     0.6941    
10053     1.6049    
10056     5.3889    
10188     2.1310    
10253     4.0028    
10304     1.6372    
10357     5.4437    
10389     2.1622    
10476     2.6944    
10607     5.6793    
10738     4.0541    
10862     4.9191    
10931     4.1653    
11255     1.2266    
11468     3.0282    
11484     3.1067    
11486     5.0883    
11699     5.2068    
11706     3.7027    
11730     3.4721    
11869     4.3245    
12136     3.0282    
12236     2.2027    
12276     2.0932    
12324     3.7796    
12338     5.2068    
12391     10.2234   
12416     2.7218    
12565     2.3933    
12727     5.3891    
12860     1.5013    
12944     1.9487    
12951     2.5110    
12976     2.7500    
13016     2.4930    
13076     6.5699    
13084     2.3541    
13086     3.0473    
13209     1.2178    
13324     5.3891    
13807     2.3541    
13953     2.4034    
14019     2.4034    
14048     4.9191    
14068     1.0689    
14083     1.5432    
14111     2.2711    
14154     1.8805    
14276     2.4767    
14278     4.9584    
14281     2.0497    
14292     3.0473    
14378     0.8102    
14430     2.1387    
